"date","type","name","title","text"
"27 апреля 2023","Новость","Финансовый конгресс Банка России пройдет 6–7 июля","Банк России возобновляет проведение традиционного Финансового конгресса. В этом году он состоится 6–7 июля в Санкт-Петербурге.","Тема пленарной сессии — структурная перестройка экономики и финансовых рынков. В программу также включены вопросы регулирования в финансовом секторе, развития экономики в новых условиях, денежно-кредитной политики и многие другие.  В мероприятии примут участие руководители крупнейших игроков российского финансового рынка, представители Банка России, регуляторов стран — партнеров России.  «В этом году мы возвращаемся к проведению Финансового конгресса Банка России, чтобы вместе с участниками рынка осмыслить произошедшие перемены и обсудить развитие в новых условиях. Очень многое кардинально изменилось, и важно сохранить какие-то опоры, привычки и традиции, и одна из них — наш конгресс», — отметила Председатель Банка России Эльвира Набиуллина.  Предварительная программа и регистрация доступны на официальном сайте конгресса."
"27 апреля 2023","Новость","Военнослужащие и члены их семей получили более 188 тысяч кредитных каникул","С конца сентября 2022 года до 31 марта 2023 года банки предоставили участникам СВО и членам их семей каникулы по 188,3 тыс. кредитов на сумму 72,4 млрд рублей, в том числе в марте — по 8,4 тыс. кредитов на сумму 3,1 млрд рублей.","Без учета кредитных каникул, оформленных в связи с СВО, банки за март реструктурировали 59,2 тыс. кредитов граждан на 30,4 млрд рублей и 1,7 тыс. кредитов субъектов малого и среднего предпринимательства на 19,7 млрд рублей.  Подробнее читайте в бюллетене «Динамика реструктуризации кредитов населения и бизнеса».  В дальнейшем бюллетень будет выходить ежеквартально, в следующем выпуске регулятор представит данные по состоянию на конец июня."
"27 апреля 2023","Новость","В 2022 году МФО увеличили кредитование бизнеса на 40%","В прошлом году микрофинансовые организации (МФО) предпринимательского финансирования выдали малому и среднему бизнесу займов на 70 млрд рублей. При этом 80% общего объема займов пришлось на государственные МФО, но крупные коммерческие МФО также нарастили кредитование.","13% займов было выдано дистанционно. Таким каналом получения денег активно пользуются предприниматели, ведущие деятельность на маркетплейсах. Предприятия оптово-розничной торговли лидируют среди заемщиков по объему и количеству займов.    Подробнее читайте в материале «Тенденции на рынке МФО предпринимательского финансирования в 2022 году».  Фото на превью: Prostock-studio / Shutterstock / Fotodom"
"26 апреля 2023","Новость","Пенсионные накопления застрахованы государством на 2,8 млн рублей","Предельный размер гарантийного возмещения по добровольным пенсионным накоплениям увеличен с 1,4 до 2,8 млн рублей. Страховка действует в случаях банкротства негосударственного пенсионного фонда (НПФ) или аннулирования его лицензии.","Такой закон одобрил Совет Федерации, и он вступит в силу со дня официального опубликования. Это будет способствовать повышению доверия к пенсионной системе и привлечению новых клиентов в НПФ.  Система гарантирования негосударственного пенсионного обеспечения заработала с 1 января 2023 года.  Фото на превью: Артем Геодакян / ТАСС"
"26 апреля 2023","Новость","Фальшивок стало меньше: итоги I квартала","В I квартале 2023 года в банковской системе России поддельных рублей обнаружено почти на 63% меньше, чем за такой же период 2022 года.  Количество фальшивых банкнот иностранных государств сократилось почти на 46%.","С подробной информацией можно ознакомиться в материале Банка России.  Фото на превью: Артем Геодакян / ТАСС"
"25 апреля 2023","Новость","28 апреля в 15:00 состоится пресс-конференция по итогам заседания Совета директоров по денежно-кредитной политике","В мероприятии примут участие Председатель Банка России Эльвира Набиуллина и заместитель Председателя Банка России Алексей Заботкин.","Эльвира Набиуллина сделает заявление по денежно-кредитной политике и обновленному прогнозу Банка России.  Пресс-конференция пройдет в пресс-центре Банка России. Трансляция выступления будет доступна на нашем сайте, каналах в YouTube и Telegram, а также на официальной странице в «ВКонтакте».  Аккредитация журналистов проходит до 18:00 26 апреля по адресу media@cbr.ru."
"24 апреля 2023","Новость","Заемщикам станет проще реструктурировать одновременно несколько кредитов в разных банках","Регулятор предложил банкам механизм взаимодействия для решения проблемы должников, попавших в сложную жизненную ситуацию.","Этот механизм закреплен в Cтандарте защиты прав и интересов заемщиков — физических лиц при урегулировании задолженности. Документ разработан участниками рабочей группы Банка России по медиации. В нее входят представители банковского сообщества, финансового уполномоченного, Минфина России и других заинтересованных структур.  Часто бывает, что заемщик имеет потребительский кредит в том банке, где он получает зарплату, а ипотеку — в другом банке, аккредитованном застройщиком. В случае финансовых сложностей человек обычно старается платить по ипотеке, а по потребительскому кредиту может допускать просрочку. При этом кредиторы или не знают друг о друге, или не полностью доверяют друг другу и не могут договориться о временном совместном снижении платежей, чтобы заемщик мог обслуживать оба кредита. Один из банков взыскивает долг через суд, и иногда это приводит к тому, что заемщик теряет жилье и становится банкротом.  Применение стандарта позволит решать эту проблему на условиях, приемлемых для всех сторон.  Заемщик, столкнувшийся с потерей работы, длительной болезнью и другими сложностями, сможет обратиться в один из банков с заявлением о комплексном урегулировании задолженности. В нем он укажет другие банки, которые выдали ему кредиты. Эти банки смогут или самостоятельно взаимодействовать друг с другом в рамках стандарта, или назначить один из банков оператором, который возьмет на себя задачу по реструктуризации всех кредитов заемщика.   Документ также содержит перечень сложных жизненных ситуаций, при которых рекомендуется проводить реструктуризацию, и список подтверждающих документов.  Соблюдение стандарта на первом этапе будет добровольным, чтобы наработать достаточную практику применения и при необходимости уточнить его текст. Кредиторы, которые решат к нему присоединиться, разместят все необходимые инструкции для заемщиков на своих сайтах.  Фото на превью: travellight / shutterstock"
"20 апреля 2023","Новость","В марте заметно ускорился рост во всех сегментах розничного кредитования","Ипотечный портфель вырос на 2,1% (в феврале — на 1,5%), что в целом соответствует докризисному уровню. Увеличились выдачи как рыночной (+30%), так и льготной ипотеки (+40%). Потребительское кредитование также ускорилось — до 1,4% с 0,5% в феврале. В корпоративном кредитовании сохраняется уверенный рост (+1,5%), как месяцем ранее.","Объем средств населения в банках умеренно увеличился (+0,7%), а средства компаний сократились на 1,6% из-за крупных налоговых выплат.  В марте банки заработали 330 млрд рублей прибыли. Это превысило результат февраля (293 млрд рублей) благодаря росту чистых процентных и комиссионных доходов, а также действию ряда разовых факторов, в том числе положительной переоценке ценных бумаг.  Более подробно читайте в информационно-аналитическом материале «О развитии банковского сектора Российской Федерации в марте 2023 года».  Фото на превью: Dark_Side / Shutterstock / Fotodom"
"20 апреля 2023","Новость","Профицит текущего счета в I квартале уменьшился при росте импорта и сокращении экспорта","В I квартале 2023 года профицит счета текущих операций сократился за счет сжатия сальдо торгового баланса, которое приблизилось к среднему уровню последних лет.","Экспорт товаров снизился с рекордного максимума I квартала 2022 года, в значительной степени из-за более низких мировых цен на сырьевые товары и увеличения дисконта для российской нефти. В то же время стоимостный объем экспорта был выше, чем в I квартале 2021 года.  Стоимостный объем импорта товаров восстановился до прошлогоднего уровня и превысил объем за аналогичный период 2021 года. Сокращение поставок из Евросоюза компенсировалось наращиванием импорта из других стран.  Более подробно читайте в ежеквартальном выпуске информационно-аналитического комментария «Платежный баланс Российской Федерации»."
"20 апреля 2023","Новость","Инфляционные ожидания населения продолжили снижаться, ценовые ожидания предприятий повысились","В апреле 2023 года инфляционные ожидания населения на год вперед вернулись в диапазон, в котором они находились в период низкой инфляции 2017–2020 годов. По данным опроса ООО «инФОМ», граждане ожидают, что цены за следующие 12 месяцев вырастут на 10,4%. Ценовые ожидания предприятий на ближайшие три месяца возросли.","Более подробно читайте в очередном комментарии Банка России «Инфляционные ожидания и потребительские настроения».  Фото на превью: Dusan Petkovic / Shutterstock / Fotodom"
